"Gemeente","statcode","Gemiddelde verkoopprijs"
"Appingedam","GM0003","194,8"
"Delfzijl","GM0010","155,1"
"Groningen (gemeente)","GM0014","258,9"
"Loppersum","GM0024","192,4"
"Almere","GM0034","294,3"
"Stadskanaal","GM0037","185,5"
"Veendam","GM0047","187,5"
"Zeewolde","GM0050","275,7"
"Achtkarspelen","GM0059","216,5"
"Ameland","GM0060","321,2"
"Harlingen","GM0072","216,4"
"Heerenveen","GM0074","257,8"
"Leeuwarden","GM0080","215,9"
"Ooststellingwerf","GM0085","238,2"
"Opsterland","GM0086","254,9"
"Schiermonnikoog","GM0088","350,8"
"Smallingerland","GM0090","233,5"
"Terschelling","GM0093","327,5"
"Vlieland","GM0096","404,1"
"Weststellingwerf","GM0098","233,4"
"Assen","GM0106","228,7"
"Coevorden","GM0109","236,0"
"Emmen","GM0114","205,7"
"Hoogeveen","GM0118","209,7"
"Meppel","GM0119","255,7"
"Almelo","GM0141","210,0"
"Borne","GM0147","270,5"
"Dalfsen","GM0148","303,7"
"Deventer","GM0150","264,2"
"Enschede","GM0153","236,6"
"Haaksbergen","GM0158","271,8"
"Hardenberg","GM0160","248,4"
"Hellendoorn","GM0163","270,8"
"Hengelo (O.)","GM0164","233,4"
"Kampen","GM0166","250,2"
"Losser","GM0168","247,5"
"Noordoostpolder","GM0171","226,7"
"Oldenzaal","GM0173","274,5"
"Ommen","GM0175","277,2"
"Raalte","GM0177","285,8"
"Staphorst","GM0180","265,3"
"Tubbergen","GM0183","317,5"
"Urk","GM0184","243,1"
"Wierden","GM0189","311,0"
"Zwolle","GM0193","293,1"
"Aalten","GM0197","226,1"
"Apeldoorn","GM0200","287,2"
"Arnhem","GM0202","260,6"
"Barneveld","GM0203","359,1"
"Beuningen","GM0209","299,3"
"Brummen","GM0213","314,1"
"Buren","GM0214","324,9"
"Culemborg","GM0216","299,6"
"Doesburg","GM0221","256,3"
"Doetinchem","GM0222","256,4"
"Druten","GM0225","285,1"
"Duiven","GM0226","267,4"
"Ede","GM0228","302,8"
"Elburg","GM0230","290,6"
"Epe","GM0232","340,9"
"Ermelo","GM0233","338,3"
"Harderwijk","GM0243","321,6"
"Hattem","GM0244","296,5"
"Heerde","GM0246","327,5"
"Heumen","GM0252","362,6"
"Lochem","GM0262","365,6"
"Maasdriel","GM0263","318,2"
"Nijkerk","GM0267","354,3"
"Nijmegen","GM0268","293,8"
"Oldebroek","GM0269","284,3"
"Putten","GM0273","398,7"
"Renkum","GM0274","352,4"
"Rheden","GM0275","282,8"
"Rozendaal","GM0277","667,4"
"Scherpenzeel","GM0279","319,8"
"Tiel","GM0281","260,8"
"Voorst","GM0285","344,7"
"Wageningen","GM0289","312,9"
"Westervoort","GM0293","249,7"
"Winterswijk","GM0294","214,0"
"Wijchen","GM0296","283,7"
"Zaltbommel","GM0297","302,7"
"Zevenaar","GM0299","243,5"
"Zutphen","GM0301","266,6"
"Nunspeet","GM0302","326,6"
"Dronten","GM0303","255,6"
"Amersfoort","GM0307","358,7"
"Baarn","GM0308","431,2"
"De Bilt","GM0310","481,4"
"Bunnik","GM0312","405,9"
"Bunschoten","GM0313","326,4"
"Eemnes","GM0317","423,0"
"Houten","GM0321","384,7"
"Leusden","GM0327","354,7"
"Lopik","GM0331","350,8"
"Montfoort","GM0335","337,4"
"Renswoude","GM0339","336,9"
"Rhenen","GM0340","360,6"
"Soest","GM0342","394,4"
"Utrecht (gemeente)","GM0344","379,8"
"Veenendaal","GM0345","286,7"
"Woudenberg","GM0351","367,2"
"Wijk bij Duurstede","GM0352","329,0"
"IJsselstein","GM0353","358,7"
"Zeist","GM0355","454,5"
"Nieuwegein","GM0356","278,3"
"Aalsmeer","GM0358","409,3"
"Alkmaar","GM0361","286,9"
"Amstelveen","GM0362","525,2"
