Gemeente,Gemiddelde verkoopprijs,Gemeentecode,Gemeentenaam,Provinciecode,Provincienaam,id
Bloemendaal,"831,6",377,Bloemendaal,27,Noord-Holland,1
Blaricum,"775,9",376,Blaricum,27,Noord-Holland,2
Laren (NH.),"768,1",417,Laren,27,Noord-Holland,3
Wassenaar,"711,3",629,Wassenaar,28,Zuid-Holland,4
Rozendaal,"667,4",277,Rozendaal,25,Gelderland,5
Heemstede,"626,6",397,Heemstede,27,Noord-Holland,6
Amstelveen,"525,2",362,Amstelveen,27,Noord-Holland,7
Gooise Meren,"510,2",1942,Gooise Meren,27,Noord-Holland,8
Ouder-Amstel,"494,1",437,Ouder-Amstel,27,Noord-Holland,9
Bergen (NH.),"488,4",373,Bergen (NH.),27,Noord-Holland,10
Amsterdam,"485,0",363,Amsterdam,27,Noord-Holland,11
De Bilt,"481,4",310,De Bilt,26,Utrecht,12
Zeist,"454,5",355,Zeist,26,Utrecht,13
Vught,"449,6",865,Vught,30,Noord-Brabant,14
De Ronde Venen,"444,9",736,De Ronde Venen,26,Utrecht,15
Utrechtse Heuvelrug,"442,8",1581,Utrechtse Heuvelrug,26,Utrecht,16
Beemster,"437,7",370,Beemster,27,Noord-Holland,17
Waalre,"434,3",866,Waalre,30,Noord-Brabant,18
Oegstgeest,"432,4",579,Oegstgeest,28,Zuid-Holland,19
Wijdemeren,"431,8",1696,Wijdemeren,27,Noord-Holland,20
Baarn,"431,2",308,Baarn,26,Utrecht,21
Oostzaan,"429,3",431,Oostzaan,27,Noord-Holland,22
Voorschoten,"426,9",626,Voorschoten,28,Zuid-Holland,23
Waterland,"424,2",852,Waterland,27,Noord-Holland,24
Landsmeer,"423,8",415,Landsmeer,27,Noord-Holland,25
Eemnes,"423,0",317,Eemnes,26,Utrecht,26
Haarlem,"417,6",392,Haarlem,27,Noord-Holland,27
Oisterwijk,"415,8",824,Oisterwijk,30,Noord-Brabant,28
Aalsmeer,"409,3",358,Aalsmeer,27,Noord-Holland,29
Huizen,"408,5",406,Huizen,27,Noord-Holland,30
Zandvoort,"408,3",473,Zandvoort,27,Noord-Holland,31
Bunnik,"405,9",312,Bunnik,26,Utrecht,32
Hilversum,"404,8",402,Hilversum,27,Noord-Holland,33
Vlieland,"404,1",96,Vlieland,21,Friesland,34
Son en Breugel,"400,3",848,Son en Breugel,30,Noord-Brabant,35
Midden-Delfland,"399,6",1842,Midden-Delfland,28,Zuid-Holland,36
Putten,"398,7",273,Putten,25,Gelderland,37
Haaren,"396,2",788,Haaren,30,Noord-Brabant,38
Lansingerland,"396,0",1621,Lansingerland,28,Zuid-Holland,39
Teylingen,"395,3",1525,Teylingen,28,Zuid-Holland,40
Westvoorne,"394,8",614,Westvoorne,28,Zuid-Holland,41
Soest,"394,4",342,Soest,26,Utrecht,42
Sint-Michielsgestel,"392,0",845,Sint-Michielsgestel,30,Noord-Brabant,43
Diemen,"389,2",384,Diemen,27,Noord-Holland,44
Heiloo,"388,8",399,Heiloo,27,Noord-Holland,45
Weesp,"386,5",457,Weesp,27,Noord-Holland,46
Noordwijk,"385,0",575,Noordwijk,28,Zuid-Holland,47
Houten,"384,7",321,Houten,26,Utrecht,48
Stichtse Vecht,"383,9",1904,Stichtse Vecht,26,Utrecht,49
Utrecht (gemeente),"379,8",344,Utrecht,26,Utrecht,50
Pijnacker-Nootdorp,"375,9",1926,Pijnacker-Nootdorp,28,Zuid-Holland,51
"Nuenen, Gerwen en Nederwetten","375,5",820,"Nuenen, Gerwen en Nederwetten",30,Noord-Brabant,52
Haarlemmermeer,"372,3",394,Haarlemmermeer,27,Noord-Holland,53
Castricum,"369,7",383,Castricum,27,Noord-Holland,54
Woudenberg,"367,2",351,Woudenberg,26,Utrecht,55
Oirschot,"366,3",823,Oirschot,30,Noord-Brabant,56
Lochem,"365,6",262,Lochem,25,Gelderland,57
Uithoorn,"364,5",451,Uithoorn,27,Noord-Holland,58
Woerden,"364,3",632,Woerden,26,Utrecht,59
Kaag en Braassem,"363,5",1884,Kaag en Braassem,28,Zuid-Holland,60
Hilvarenbeek,"362,6",798,Hilvarenbeek,30,Noord-Brabant,61
Heumen,"362,6",252,Heumen,25,Gelderland,62
Albrandswaard,"361,9",613,Albrandswaard,28,Zuid-Holland,63
Rhenen,"360,6",340,Rhenen,26,Utrecht,64
Oudewater,"360,0",589,Oudewater,26,Utrecht,65
Barneveld,"359,1",203,Barneveld,25,Gelderland,66
IJsselstein,"358,7",353,IJsselstein,26,Utrecht,67
Amersfoort,"358,7",307,Amersfoort,26,Utrecht,68
Leusden,"354,7",327,Leusden,26,Utrecht,69
